onset	duration	begsample	endsample	offset	type
29.985	0.105	5998	6018	0	stimulation
30.99	0.105	6199	6219	0	stimulation
31.995	0.105	6400	6420	0	stimulation
33	0.105	6601	6621	0	stimulation
33.79	0.105	6759	6779	0	stimulation
56.775	0.105	11356	11376	0	stimulation
57.78	0.105	11557	11577	0	stimulation
58.785	0.105	11758	11778	0	stimulation
59.79	0.105	11959	11979	0	stimulation
62.08	0.105	12417	12437	0	stimulation
63.085	0.105	12618	12638	0	stimulation
64.09	0.105	12819	12839	0	stimulation
65.0949	0.105	13019.98	13039.98	0	stimulation
66.42	0.105	13285	13305	0	stimulation
87.595	0.105	17520	17540	0	stimulation
88.6	0.105	17721	17741	0	stimulation
89.605	0.105	17922	17942	0	stimulation
97.975	0.105	19596	19616	0	stimulation
98.98	0.105	19797	19817	0	stimulation
99.985	0.105	19998	20018	0	stimulation
100.99	0.105	20199	20219	0	stimulation
101.995	0.105	20400	20420	0	stimulation
